Name,Ticker,Coupon,Maturity,Maturity Type,Country/Region,Currency,Identifier,Bloomberg Composite Rating,Ask Price,Source
India Government Bond,IGB,9.2,30-09-2030,AT MATURITY,IN,INR,EJ8517744,#N/A N/A,110.08,NDSI
Reserve Bank of India Sovereign Gold Bond,SGBIN,2.5,20-07-2029,AT MATURITY,IN,INR,ZN6434296,NR,14086,EXCH
Reserve Bank of India Sovereign Gold Bond,SGBIN,2.5,30-10-2027,AT MATURITY,IN,INR,ZN6447835,NR,14347.95,EXCH
Reserve Bank of India Sovereign Gold Bond,SGBIN,2.5,28-12-2031,AT MATURITY,IN,INR,ZG9947331,NR,14485,EXCH
Reserve Bank of India Sovereign Gold Bond,SGBIN,2.5,11-02-2028,AT MATURITY,IN,INR,ZN6434734,NR,14371.82,EXCH
Reserve Bank of India Sovereign Gold Bond,SGBIN,2.5,28-06-2030,AT MATURITY,IN,INR,ZN6438206,NR,14242.67,EXCH
India Government Bond Coupon Strips,IGBCS,0,26-10-2027,AT MATURITY,IN,INR,AV6699020,#N/A N/A,93.017,BVAL
India Government Bond Coupon Strips,IGBCS,0,26-10-2031,AT MATURITY,IN,INR,AV6699277,#N/A N/A,71.602,BVAL
India Government Bond Coupon Strips,IGBCS,0,26-10-2032,AT MATURITY,IN,INR,AV6700570,#N/A N/A,66.812,BVAL
India Government Bond Coupon Strips,IGBCS,0,10-10-2031,AT MATURITY,IN,INR,AX5208563,#N/A N/A,71.819,BVAL
India Government Bond Coupon Strips,IGBCS,0,07-12-2026,AT MATURITY,IN,INR,AZ7704762,#N/A N/A,98.016,BVAL
India Government Bond Coupon Strips,IGBCS,0,15-03-2059,AT MATURITY,IN,INR,BJ5981656,#N/A N/A,8.119,BVAL
India Government Bond Coupon Strips,IGBCS,0,15-06-2031,AT MATURITY,IN,INR,BM1797760,#N/A N/A,73.412,BVAL
India Government Bond Coupon Strips,IGBCS,0,12-12-2032,AT MATURITY,IN,INR,BN3648506,#N/A N/A,66.212,BVAL
India Government Bond Principal Strips,IGBPS,0,12-12-2041,AT MATURITY,IN,INR,BN3651575,#N/A N/A,33.809,BVAL
India Government Bond Principal Strips,IGBPS,0,23-12-2043,AT MATURITY,IN,INR,BQ0672783,#N/A N/A,#N/A N/A,NDSI
India Government Bond Coupon Strips,IGBCS,0,22-08-2031,AT MATURITY,IN,INR,BQ2985902,#N/A N/A,72.485,BVAL
India Government Bond Coupon Strips,IGBCS,0,12-06-2028,AT MATURITY,IN,INR,BQ5895173,#N/A N/A,#N/A N/A,NDSI
India Government Bond Coupon Strips,IGBCS,0,16-06-2031,AT MATURITY,IN,INR,BY3999681,#N/A N/A,73.398,BVAL
India Government Bond Coupon Strips,IGBCS,0,16-06-2032,AT MATURITY,IN,INR,BY4002964,#N/A N/A,68.516,BVAL
India Government Bond Coupon Strips,IGBCS,0,19-03-2029,AT MATURITY,IN,INR,BZ5076352,#N/A N/A,85.235,BVAL
India Government Bond,IGB,8.32,02-08-2032,AT MATURITY,IN,INR,EG7053101,NR,108.4,NDSI
India Government Bond,IGB,5.32,25-01-2035,AT MATURITY,IN,INR,EI1247846,NR,#N/A N/A,BGN
India Government Bond Coupon Strips,IGBCS,0,02-01-2027,AT MATURITY,IN,INR,EI4391013,#N/A N/A,97.617,BVAL
India Government Bond Coupon Strips,IGBCS,0,02-07-2027,AT MATURITY,IN,INR,EI4391054,#N/A N/A,94.832,BVAL
India Government Bond Coupon Strips,IGBCS,0,02-01-2028,AT MATURITY,IN,INR,EI4391138,#N/A N/A,91.957,BVAL
India Government Bond Coupon Strips,IGBCS,0,02-07-2030,AT MATURITY,IN,INR,EI4391617,#N/A N/A,78.316,BVAL
India Government Bond Coupon Strips,IGBCS,0,02-07-2031,AT MATURITY,IN,INR,EJ5472448,#N/A N/A,73.18,BVAL
India Government Bond,IGB,8.24,10-11-2033,AT MATURITY,IN,INR,EK5791562,#N/A N/A,108.85,NDSI
India Government Bond Coupon Strips,IGBCS,0,18-02-2027,AT MATURITY,IN,INR,YK5531396,#N/A N/A,96.919,BVAL
India Government Bond Coupon Strips,IGBCS,0,15-10-2047,AT MATURITY,IN,INR,YP6965634,#N/A N/A,20.854,BVAL
India Special Government Bond,INDSPB,6.55,27-09-2029,AT MATURITY,IN,INR,YP8869396,#N/A N/A,#N/A N/A,BGN
India Special Government Bond,INDSPB,6.44,30-03-2035,AT MATURITY,IN,INR,YP8878884,#N/A N/A,#N/A N/A,BGN
India Government Bond Principal Strips,IGBPS,0,25-11-2074,AT MATURITY,IN,INR,YT6424303,#N/A N/A,2.713,BVAL
India Government Bond Coupon Strips,IGBCS,0,25-11-2030,AT MATURITY,IN,INR,YT6425714,#N/A N/A,76.224,BVAL
India Government Bond Coupon Strips,IGBCS,0,25-05-2032,AT MATURITY,IN,INR,YT6426159,#N/A N/A,68.8,BVAL
India Government Bond Coupon Strips,IGBCS,0,25-05-2035,AT MATURITY,IN,INR,YT6426639,#N/A N/A,55.635,BVAL
India Government Bond Coupon Strips,IGBCS,0,25-11-2035,AT MATURITY,IN,INR,YT6426696,#N/A N/A,53.65,BVAL
India Government Bond Coupon Strips,IGBCS,0,25-05-2036,AT MATURITY,IN,INR,YT6426779,#N/A N/A,51.754,BVAL
India Government Bond Coupon Strips,IGBCS,0,25-05-2037,AT MATURITY,IN,INR,YT6426878,#N/A N/A,48.092,BVAL
India Government Bond Coupon Strips,IGBCS,0,25-11-2038,AT MATURITY,IN,INR,YT6427371,#N/A N/A,42.948,BVAL
India Government Bond Coupon Strips,IGBCS,0,15-10-2028,AT MATURITY,IN,INR,YV0294459,#N/A N/A,87.572,BVAL
India Government Bond Coupon Strips,IGBCS,0,15-04-2031,AT MATURITY,IN,INR,YV0294889,#N/A N/A,74.25,BVAL
India Government Bond Coupon Strips,IGBCS,0,15-10-2031,AT MATURITY,IN,INR,YV0295142,#N/A N/A,71.751,BVAL
India Government Bond Coupon Strips,IGBCS,0,15-04-2034,AT MATURITY,IN,INR,YV0295506,#N/A N/A,60.237,BVAL
India Government Bond Coupon Strips,IGBCS,0,15-10-2035,AT MATURITY,IN,INR,YV0295688,#N/A N/A,54.087,BVAL
India Government Bond Coupon Strips,IGBCS,0,05-02-2027,AT MATURITY,IN,INR,YV5766139,#N/A N/A,97.122,BVAL
India Government Bond Coupon Strips,IGBCS,0,05-08-2031,AT MATURITY,IN,INR,YV5767723,#N/A N/A,72.717,BVAL
India Government Bond Coupon Strips,IGBCS,0,22-10-2029,AT MATURITY,IN,INR,YW0129448,#N/A N/A,82.015,BVAL
India Government Bond Coupon Strips,IGBCS,0,06-05-2072,AT MATURITY,IN,INR,YW0129612,#N/A N/A,3.151,BVAL
India Government Bond Coupon Strips,IGBCS,0,22-10-2037,AT MATURITY,IN,INR,YW0130289,#N/A N/A,46.64,BVAL
India Government Bond Coupon Strips,IGBCS,0,06-05-2031,AT MATURITY,IN,INR,YX9884892,#N/A N/A,73.96,BVAL
India Government Bond Coupon Strips,IGBCS,0,12-06-2042,AT MATURITY,IN,INR,ZJ0078791,#N/A N/A,32.466,BVAL
India Government Bond Coupon Strips,IGBCS,0,19-06-2031,AT MATURITY,IN,INR,ZJ6881131,#N/A N/A,73.357,BVAL
India Government Bond Coupon Strips,IGBCS,0,19-09-2026,AT MATURITY,IN,INR,ZN1265117,#N/A N/A,99.25,BVAL
India Government Bond Coupon Strips,IGBCS,0,19-09-2030,AT MATURITY,IN,INR,ZN1291964,#N/A N/A,77.181,BVAL
India Government Bond Coupon Strips,IGBCS,0,19-03-2030,AT MATURITY,IN,INR,ZN1523747,#N/A N/A,79.83,BVAL
India Government Bond Coupon Strips,IGBCS,0,01-12-2026,AT MATURITY,IN,INR,ZN6837050,#N/A N/A,98.109,BVAL
India Government Bond Coupon Strips,IGBCS,0,12-09-2030,AT MATURITY,IN,INR,ZN6869061,#N/A N/A,77.281,BVAL
India Government Bond Coupon Strips,IGBCS,0,12-09-2031,AT MATURITY,IN,INR,ZN6869467,#N/A N/A,72.199,BVAL
